id,ids,name,surname,position,team,price,active,assists,average,blocks,datum,diff,domaci,fletter,ga,goals,gwg,gwin,ha,hits,icetime,id_day,id_muzstvo,injured,last_points,ldesc,locked,loss,matches,note,otg,otl,owned,permil,plusminus,pm,points,ppg,pptime,pts,saves,sdiff,shg,shots,so,sog,spct,status,zaciatok,zmena
8477458,,Valentin Zykov,Zykov,W,VGK,500000,0,,,,,0,,V,,,,,0,,,0,62,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8484475,,Stepan Zvyagin,Zvyagin,W,FLA,500000,1,,,,,0,,S,,,,,0,,,0,42,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
8481104,,Eli Zummack,Zummack,C,TOR,500000,0,,,,,0,,E,,,,,0,,,0,57,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8478875,,Ryan Zuhlsdorf,Zuhlsdorf,D,TBL,500000,0,,,,,0,,R,,,,,0,,,0,56,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8475722,,Jason Zucker,Zucker,W,BUF,4190000,1,32,30.589041,20,,0,,J,0,21,4,0,0,68,16:00,0,33,0,0,,0,30,73,,0,0,0,,4,57,2233.00,11,00:00,53,0,1210000,0,143,0,,,,,
8475692,,Mats Zuccarello,Zuccarello,W,MIN,4510000,1,37,28.920000,46,,0,,M,0,20,7,0,0,43,19:35,0,44,1,0,20251013,0,28,75,,1,0,0,,-1,22,2169.00,3,00:00,57,0,370000,0,160,0,,,,2025-09-25,2025-09-25
8464977,,Dainius Zubrus,Zubrus,C,SJS,500000,0,,,,,0,,D,,,,,0,,,0,54,0,0,,0,,,,,,0,,,,,,,,,0,,,,,,,,
8482245,,Artem Zub,Zub,D,OTT,2400000,1,12,15.677419,112,,0,,A,0,2,1,0,0,60,20:49,0,50,0,0,,0,22,62,,0,0,0,,3,36,972.00,0,00:00,14,0,60000,0,60,0,,,,,
8474584,,Michael Del Zotto,Zotto,D,ANA,500000,0,,,,,0,,M,,,,,0,,,0,31,0,0,,0,,,,,,0,,,,,,,,,-1680000,,,,,,,,
8485351,,Bill Zonnon,Zonnon,W,PIT,1380000,1,,,,,0,,B,,,,,0,,,0,53,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,
