Name,Pos,team,$,YDiff,Diff,FPs,Avg,#Own,FP/$,#Gm,#HG,#AG,ARnk,Wed 01/13,Thu 01/14,Fri 01/15,Sat 01/16,Sun 01/17,Mon 01/18,Gp,G,A,P,+/-,Pim,Sht,H,Blk,Gwg,Otg,Ppg,Shg,Toi,PPToi,Ga,Sv%,Sv,Win,Loss,Otl,So
C McDavid,C,EDM,12.75,0.00,2.71,6493,64.3,243,5.0,4,4,0,13,VAN,VAN,,MTL,,MTL,101,40,134,174,47,40,338,149,57,6,2,9,1,21:46,01:37,0,0,0,0,32,0,0
N MacKinnon,C,COL,11.04,0.00,2.60,5947,63.9,91,5.8,2,2,0,11,STL,,STL,,,,93,55,99,154,34,46,452,57,83,9,2,11,0,23:02,02:52,0,0,0,0,29,0,0
L Draisaitl,C,EDM,10.62,0.00,1.84,5340,50.4,195,4.7,4,4,0,13,VAN,VAN,,MTL,,MTL,106,51,86,137,26,90,290,77,43,9,2,27,0,20:52,01:38,0,0,0,0,35,0,0
N Kucherov,W,TBL,9.75,0.00,2.66,5198,60.4,60,6.2,2,2,0,26,CHI,,CHI,,,,86,44,107,151,7,24,314,53,41,6,1,13,0,21:39,02:33,0,0,0,0,31,0,0
J Miller,C,VAN,7.38,0.00,3.29,4996,53.1,66,7.2,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,94,40,75,115,36,66,222,238,74,10,2,11,2,19:46,02:21,0,0,0,0,27,0,0
S Reinhart,C,FLA,6.92,0.00,3.75,4985,47.0,94,6.8,1,1,0,26,,,,,CHI,,106,67,43,110,26,43,311,124,113,13,4,31,5,20:36,01:52,0,0,0,0,30,0,0
E Bouchard,D,EDM,6.27,0.00,4.55,4978,47.0,252,7.5,4,4,0,13,VAN,VAN,,MTL,,MTL,106,24,90,114,48,54,294,94,150,10,3,9,0,23:28,01:39,0,0,0,0,35,0,0
A Matthews,C,TOR,10.16,0.00,1.94,4945,57.5,57,5.7,4,2,2,24,MTL,,@OTT,@OTT,,WPG,86,70,41,111,33,22,389,111,102,9,3,18,0,20:54,01:59,0,0,0,0,29,0,0
A Panarin,W,NYR,7.52,0.00,1.51,4912,50.1,61,6.7,2,2,0,18,,NYI,,NYI,,,98,54,81,135,16,28,346,25,23,9,2,12,0,20:13,02:04,0,0,0,0,28,0,0
Z Hyman,W,EDM,7.88,0.00,2.64,4867,46.4,292,5.9,4,4,0,13,VAN,VAN,,MTL,,MTL,105,70,29,99,48,60,380,127,69,10,1,21,0,19:57,01:32,0,0,0,0,35,0,0
D Pastrnak,W,BOS,9.46,0.00,2.73,4801,50.5,31,5.3,3,0,3,25,,@NJD,,@NJD,,@NYI,95,51,67,118,21,72,423,89,28,6,1,13,0,19:53,02:19,0,0,0,0,26,0,0
M Tkachuk,W,FLA,9.27,0.00,4.82,4770,45.9,193,4.9,1,1,0,26,,,,,CHI,,104,32,78,110,19,119,362,210,47,4,0,6,1,18:36,02:06,0,0,0,0,29,0,0
M Rantanen,W,COL,9.04,0.00,0.95,4620,50.8,45,5.6,2,2,0,11,STL,,STL,,,,91,46,72,118,18,58,304,66,68,10,0,15,0,23:03,03:02,0,0,0,0,28,0,0
F Forsberg,W,NSH,6.54,0.00,2.02,4360,49.5,62,7.6,3,3,0,16,,CBJ,,CBJ,,CAR,88,50,50,100,16,45,364,146,50,12,3,13,0,19:01,02:19,0,0,0,0,33,0,0
V Trocheck,C,NYR,5.56,0.00,0.41,4349,44.4,44,8.0,2,2,0,18,,NYI,,NYI,,,98,33,64,97,19,65,258,207,112,6,2,16,1,21:44,02:01,0,0,0,0,28,0,0
S Bobrovsky,G,FLA,7.63,0.00,2.13,4329,52.8,259,6.9,1,1,0,26,,,,,CHI,,82,0,3,3,0,0,0,0,0,0,0,0,0,58:57,00:00,190,91.2,1977,52,24,6,8
A Barkov,C,FLA,6.72,0.00,0.17,4204,43.3,141,6.4,1,1,0,26,,,,,CHI,,97,31,71,102,31,32,254,137,83,8,0,6,1,20:02,01:38,0,0,0,0,27,0,0
S Aho,C,CAR,7.16,0.00,0.35,4153,46.7,34,6.5,3,0,3,22,,@DET,,@DET,,@NSH,89,40,61,101,35,38,245,68,29,11,2,11,1,19:55,01:47,0,0,0,0,22,0,0
C Makar,D,COL,7.57,0.00,1.43,4018,45.7,35,6.0,2,2,0,11,STL,,STL,,,,88,26,79,105,12,16,267,42,171,2,0,10,1,25:03,02:29,0,0,0,0,26,0,0
Q Hughes,D,VAN,6.28,0.00,3.72,3948,41.6,91,6.6,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,95,17,85,102,39,44,221,33,69,2,1,5,0,24:39,02:27,0,0,0,0,28,0,0
E Pettersson,C,VAN,7.45,0.00,3.85,3934,41.4,46,5.6,4,0,4,13,@EDM,@EDM,,@CAL,,@CAL,95,35,60,95,20,14,229,134,83,10,2,14,0,19:35,02:23,0,0,0,0,28,0,0
C Verhaeghe,C,FLA,5.29,0.00,0.00,3858,38.6,104,7.3,1,1,0,26,,,,,CHI,,100,45,48,93,12,56,326,87,37,10,2,12,0,18:18,01:38,0,0,0,0,29,0,0
B Tkachuk,W,OTT,7.46,0.00,2.70,3848,47.5,24,6.4,2,2,0,13,,,TOR,TOR,,,81,37,37,74,1,134,357,274,42,2,1,12,0,19:09,02:15,0,0,0,0,40,0,0
K Kaprizov,W,MIN,7.85,0.00,2.72,3830,51.1,56,6.5,3,0,3,22,,@LAK,,@LAK,,@ANA,75,46,50,96,11,36,277,51,38,8,2,19,0,21:35,02:41,0,0,0,0,28,0,0
C Kreider,W,NYR,6.04,0.00,1.94,3822,39.0,25,6.5,2,2,0,18,,NYI,,NYI,,,98,47,40,87,16,32,285,121,37,8,1,20,4,18:57,02:02,0,0,0,0,28,0,0
W Nylander,W,TOR,7.43,0.00,2.29,3817,44.4,36,6.0,4,2,2,24,MTL,,@OTT,@OTT,,WPG,86,43,58,101,3,28,334,35,35,8,2,11,3,20:00,02:02,0,0,0,0,27,0,0
I Shesterkin,G,NYR,8.28,0.00,2.80,3808,53.6,21,6.5,2,2,0,18,,NYI,,NYI,,,71,0,1,1,0,2,0,0,0,0,0,0,0,01:14,00:00,180,91.6,1951,46,22,3,4
